city,state,urban
Bombooflat,Andaman & Nicobar Islands,Andamans
Garacharma,Andaman & Nicobar Islands,Andamans
Port Blair,Andaman & Nicobar Islands,Andamans
Adilabad,Andhra Pradesh,Adilabad
Adoni,Andhra Pradesh,Kurnool
Akkarampalle,Andhra Pradesh,Chittoor
Akkayapalle,Andhra Pradesh,Cuddapah
Alwal,Andhra Pradesh,Rangareddi
Amadalavalasa,Andhra Pradesh,Srikakulam
Amalapuram,Andhra Pradesh,East Godavari
Anakapalle,Andhra Pradesh,Visakhapatnam
Anantapur,Andhra Pradesh,Anantapur
Asifabad,Andhra Pradesh,Adilabad
Badepalle,Andhra Pradesh,Mahbubnagar
Bandarulanka,Andhra Pradesh,East Godavari
Bapatla,Andhra Pradesh,Guntur
Bellampalle,Andhra Pradesh,Adilabad
Bestavaripeta,Andhra Pradesh,Prakasam
Bethamcheria,Andhra Pradesh,Kurnool
Bhadrachalam,Andhra Pradesh,Khammam
Bhainsa,Andhra Pradesh,Adilabad
Bheemavaram,Andhra Pradesh,West Godavari
Bheemunipatnam,Andhra Pradesh,Visakhapatnam
Bhongir,Andhra Pradesh,Nalgonda
Bobbili,Andhra Pradesh,Vizianagaram
Bodhan,Andhra Pradesh,Nizamabad
Bollaram,Andhra Pradesh,Medak
Bugganipalle,Andhra Pradesh,Kurnool
Chandur,Andhra Pradesh,Nalgonda
Chatakonda,Andhra Pradesh,Khammam
Chemmumiahpet,Andhra Pradesh,Cuddapah
Chilakaluripet,Andhra Pradesh,Guntur
Chinnachowk,Andhra Pradesh,Cuddapah
Chintalavalasa,Andhra Pradesh,Vizianagaram
Chirala,Andhra Pradesh,Prakasam
Chittoor,Andhra Pradesh,Chittoor
Choutuppal,Andhra Pradesh,Nalgonda
Chunchupalle,Andhra Pradesh,Khammam
Cuddapah,Andhra Pradesh,Cuddapah
Dasnapur,Andhra Pradesh,Adilabad
Devarakonda,Andhra Pradesh,Nalgonda
Dharmavaram,Andhra Pradesh,Anantapur
Dommara Nandyal,Andhra Pradesh,Cuddapah
Dowleswaram,Andhra Pradesh,East Godavari
Eddumailaram,Andhra Pradesh,Medak
Ekambara kuppam,Andhra Pradesh,Chittoor
Eluru,Andhra Pradesh,West Godavari
Farooqnagar,Andhra Pradesh,Mahbubnagar
Gaddi annaram,Andhra Pradesh,Rangareddi
Gadwal,Andhra Pradesh,Mahbubnagar
Gajapathinagaram,Andhra Pradesh,Vizianagaram
Gajularega,Andhra Pradesh,Vizianagaram
Gajuwaka,Andhra Pradesh,Visakhapatnam
Ghatkeser,Andhra Pradesh,Rangareddi
Gooty,Andhra Pradesh,Anantapur
Gudivada,Andhra Pradesh,Visakhapatnam
Gudivada,Andhra Pradesh,Krishna
Gudur,Andhra Pradesh,Nellore
Guntakal,Andhra Pradesh,Anantapur
Guntur,Andhra Pradesh,Guntur
Hindupur,Andhra Pradesh,Anantapur
Hyderabad M.Corp,Andhra Pradesh,Hyderabad and Rangareddi
Ichchapuram,Andhra Pradesh,Srikakulam
Isnapur,Andhra Pradesh,Medak
Jaggayyapet,Andhra Pradesh,Krishna
Jagtial,Andhra Pradesh,Karimnagar
Jallaram Kamanpur,Andhra Pradesh,Karimnagar
Jammalamadugu,Andhra Pradesh,Cuddapah
Jangaon,Andhra Pradesh,Warangal
Jarjapupeta,Andhra Pradesh,Vizianagaram
Kadiri,Andhra Pradesh,Anantapur
Kaghaznagar,Andhra Pradesh,Adilabad
Kakinada,Andhra Pradesh,East Godavari
Kallur,Andhra Pradesh,Kurnool
Kalyandurg,Andhra Pradesh,Anantapur
Kamareddy,Andhra Pradesh,Nizamabad
Kanapaka,Andhra Pradesh,Vizianagaram
Kandukur,Andhra Pradesh,Prakasam
Kantabamsuguda,Andhra Pradesh,Visakhapatnam
Kanuru,Andhra Pradesh,Krishna
Kapra,Andhra Pradesh,Rangareddi
Karimnagar,Andhra Pradesh,Karimnagar
Kavali,Andhra Pradesh,Nellore
Khammam,Andhra Pradesh,Khammam
Koratla,Andhra Pradesh,Karimnagar
Kothagudem,Andhra Pradesh,Khammam
Kothavalasa,Andhra Pradesh,Vizianagaram
Kovurpalle,Andhra Pradesh,Nellore
Kovvur,Andhra Pradesh,West Godavari
Kukatpalle,Andhra Pradesh,Rangareddi
Kuppam,Andhra Pradesh,Chittoor
Kurnool,Andhra Pradesh,Kurnool
Kyathampalle,Andhra Pradesh,Adilabad
L.B. Nagar,Andhra Pradesh,Rangareddi
Macherla,Andhra Pradesh,Guntur
Machilipatnam,Andhra Pradesh,Krishna
Madanapalle,Andhra Pradesh,Chittoor
Madaram,Andhra Pradesh,Adilabad
Mahbubnagar,Andhra Pradesh,Mahbubnagar
Malkajgiri,Andhra Pradesh,Rangareddi
Mancherial,Andhra Pradesh,Adilabad
Mandamarri,Andhra Pradesh,Adilabad
Mandapeta,Andhra Pradesh,East Godavari
Mangalagiri,Andhra Pradesh,Guntur
Manugur,Andhra Pradesh,Khammam
Markapur,Andhra Pradesh,Prakasam
Medak,Andhra Pradesh,Medak
Meerpet,Andhra Pradesh,Rangareddi
Miryalguda,Andhra Pradesh,Nalgonda
Moragudi,Andhra Pradesh,Cuddapah
Nagari,Andhra Pradesh,Chittoor
Nagarkurnool,Andhra Pradesh,Mahbubnagar
Nalgonda,Andhra Pradesh,Nalgonda
Nandyal,Andhra Pradesh,Kurnool
Narasaraopet,Andhra Pradesh,Guntur
Narayanavanam,Andhra Pradesh,Chittoor
Narayanpet,Andhra Pradesh,Mahbubnagar
Narsapur,Andhra Pradesh,West Godavari
Narsingi,Andhra Pradesh,Rangareddi
Narsipatnam,Andhra Pradesh,Visakhapatnam
Naspur,Andhra Pradesh,Adilabad
Nellimaria,Andhra Pradesh,Vizianagaram
Nellore,Andhra Pradesh,Nellore
Nidadavole,Andhra Pradesh,West Godavari
Nirmal,Andhra Pradesh,Adilabad
Nizamabad,Andhra Pradesh,Nizamabad
Nuzvid,Andhra Pradesh,Krishna
Omerkhan daira,Andhra Pradesh,Rangareddi
Ongole,Andhra Pradesh,Prakasam
Osmania University,Andhra Pradesh,Hyderabad
Palacole,Andhra Pradesh,West Godavari
Palakurthi,Andhra Pradesh,Karimnagar
Palasa @ Kasibugga,Andhra Pradesh,Srikakulam
Palwancha,Andhra Pradesh,Khammam
Pamur,Andhra Pradesh,Prakasam
Papampeta,Andhra Pradesh,Anantapur
Parvathipuram,Andhra Pradesh,Vizianagaram
Patancheru,Andhra Pradesh,Medak
Pedana,Andhra Pradesh,Krishna
Peddapuram,Andhra Pradesh,East Godavari
Pitapuram,Andhra Pradesh,East Godavari
Ponnur,Andhra Pradesh,Guntur
Proddatur,Andhra Pradesh,Cuddapah
Punganur,Andhra Pradesh,Chittoor
Puttur,Andhra Pradesh,Chittoor
Quthbullapur,Andhra Pradesh,Rangareddi
Rajahmundry,Andhra Pradesh,East Godavari
Rajam,Andhra Pradesh,Srikakulam
Rajendranagar,Andhra Pradesh,Rangareddi
Ramachandrapuram,Andhra Pradesh,Medak
Ramachandrapuram,Andhra Pradesh,East Godavari
Ramachandrapuram-Bhel Township ),Andhra Pradesh,Medak
Ramagundam,Andhra Pradesh,Karimnagar
Ramanayyapeta,Andhra Pradesh,East Godavari
Ramapuram,Andhra Pradesh,Kurnool
Rameswaram,Andhra Pradesh,Cuddapah
Rampachodavaram,Andhra Pradesh,East Godavari
Rayachoti,Andhra Pradesh,Cuddapah
Rayadurg,Andhra Pradesh,Anantapur
Renigunta,Andhra Pradesh,Chittoor
Repalle,Andhra Pradesh,Guntur
Sadasivpet,Andhra Pradesh,Medak
Salur,Andhra Pradesh,Vizianagaram
Samalkota,Andhra Pradesh,East Godavari
Sangareddy,Andhra Pradesh,Medak
Sarapaka,Andhra Pradesh,Khammam
Sattenapalle,Andhra Pradesh,Guntur
Secunderabad,Andhra Pradesh,Hyderabad
Serilingampalle,Andhra Pradesh,Rangareddi
Siddipet,Andhra Pradesh,Medak
Singapur,Andhra Pradesh,Adilabad
Singarayakonda,Andhra Pradesh,Prakasam
Sirsilla,Andhra Pradesh,Karimnagar
Sompeta,Andhra Pradesh,Srikakulam
Srikakulam,Andhra Pradesh,Srikakulam
Srikalahasti,Andhra Pradesh,Chittoor
Sriramnagar,Andhra Pradesh,Vizianagaram
Srisailam  Project (RFC) Township,Andhra Pradesh,Kurnool
Srisailamgudem Devasthanam,Andhra Pradesh,Kurnool
Suryapet,Andhra Pradesh,Nalgonda
Suryaraopeta,Andhra Pradesh,East Godavari
Tadepalligudem,Andhra Pradesh,West Godavari
Tadpatri,Andhra Pradesh,Anantapur
Tallapalle,Andhra Pradesh,Adilabad
Tandur,Andhra Pradesh,Rangareddi
Tanuku,Andhra Pradesh,West Godavari
Teegalapahad,Andhra Pradesh,Adilabad
Tenali,Andhra Pradesh,Guntur
Tiruchanur,Andhra Pradesh,Chittoor
Tirumala,Andhra Pradesh,Chittoor
Tirupati,Andhra Pradesh,Chittoor
Tirupati (NMA),Andhra Pradesh,Chittoor
Tuni,Andhra Pradesh,East Godavari
Uppal Kalan,Andhra Pradesh,Rangareddi
Upper Sileru Project Site Camp,Andhra Pradesh,Visakhapatnam
Uravakonda,Andhra Pradesh,Anantapur
Vaparala,Andhra Pradesh,Cuddapah
Venkatagiri,Andhra Pradesh,Nellore
Vepagunta,Andhra Pradesh,Visakhapatnam
Vetapalem,Andhra Pradesh,Prakasam
Vicarabad,Andhra Pradesh,Rangareddi
Vijayapuri (North),Andhra Pradesh,Nalgonda
Vijayawada,Andhra Pradesh,Krishna
Vinukonda,Andhra Pradesh,Guntur
Visakhapatnam,Andhra Pradesh,Visakhapatnam
Vizianagaram,Andhra Pradesh,Vizianagaram
Wanaparthi,Andhra Pradesh,Mahbubnagar
Warangal,Andhra Pradesh,Warangal
Yadagirigutta,Andhra Pradesh,Nalgonda
Yellandu,Andhra Pradesh,Khammam
Yemmiganur,Andhra Pradesh,Kurnool
Yerraguntla,Andhra Pradesh,Cuddapah
Zahirabad,Andhra Pradesh,Medak
Along,Arunachal Pradesh,West Siang
Basar,Arunachal Pradesh,West Siang
Bomdila,Arunachal Pradesh,West Kameng
Changlang,Arunachal Pradesh,Changlang
Daporijo,Arunachal Pradesh,Upper Subansiri
Deomali,Arunachal Pradesh,Tirap
Itanagar,Arunachal Pradesh,Papum Pare
Jairampur,Arunachal Pradesh,Changlang
Khonsa,Arunachal Pradesh,Tirap
Naharlagun,Arunachal Pradesh,Papum Pare
Namsai,Arunachal Pradesh,Lohit
Pasighat,Arunachal Pradesh,East Siang
Roing,Arunachal Pradesh,Dibang Valley
Seppa,Arunachal Pradesh,East Kameng
Tawang,Arunachal Pradesh,Tawang
Tezu,Arunachal Pradesh,Lohit
Ziro,Arunachal Pradesh,Lower Subansiri
Abhayapuri,Assam,Bongaigaon
Ambikapur Part-X,Assam,Cachar
Amguri,Assam,Sibsagar
Anand Nagar,Assam,Dhubri
Badarpur,Assam,Karimganj
Badarpur Rly Town,Assam,Karimganj
Bahbari Gaon,Assam,Tinsukia
Bamun Sualkuchi,Assam,Kamrup
Barbari (AMC Area),Assam,Dibrugarh
Barpathar,Assam,Golaghat
Barpeta,Assam,Barpeta
Barpeta Road,Assam,Barpeta
Basugaon,Assam,Kokrajhar
Bihpuria,Assam,Lakhimpur
Bijni,Assam,Bongaigaon
Bilasipara,Assam,Dhubri
Biswanath Chariali,Assam,Sonitpur
Bohari,Assam,Barpeta
Bokajan,Assam,Karbi Anglong
Bokakhat,Assam,Golaghat
Bongaigaon,Assam,Bongaigaon
"Bongaigaon, Refinery & Petro-chemical Ltd. Township",Assam,Bongaigaon
Borgolai Grant No.11,Assam,Tinsukia
Chabua,Assam,Dibrugarh
Chandrapur Bagicha,Assam,Kamrup
Chapar,Assam,Dhubri
Chekonidhara,Assam,Jorhat
Choto Haibor,Assam,Nagaon
Dergaon,Assam,Golaghat
Dharapur,Assam,Kamrup
Dhekiajuli,Assam,Sonitpur
Dhemaji,Assam,Dhemaji
Dhing,Assam,Nagaon
Dhubri,Assam,Dhubri
Dibrugarh,Assam,Dibrugarh
Digboi,Assam,Tinsukia
Digboi Oil Town,Assam,Tinsukia
Dimaruguri,Assam,Nagaon
Diphu,Assam,Karbi Anglong
Doboka,Assam,Nagaon
Dokmoka,Assam,Karbi Anglong
Donkamokam,Assam,Karbi Anglong
Doom Dooma,Assam,Tinsukia
Duliajan No.1,Assam,Dibrugarh
Duliajan Oil Town,Assam,Dibrugarh
Durga Nagar Part-V,Assam,Cachar
Gauripur,Assam,Dhubri
Goalpara,Assam,Goalpara
Gohpur,Assam,Sonitpur
Golaghat,Assam,Golaghat
Golokganj,Assam,Dhubri
Gossaigaon,Assam,Kokrajhar
Guwahati,Assam,Kamrup
Haflong,Assam,North Cachar Hills
Hailakandi,Assam,Hailakandi
Hamren,Assam,Karbi Anglong
Hindustan Paper Corporation Ltd. Township Area Panchgram,Assam,Hailakandi
Hojai,Assam,Nagaon
Howli,Assam,Barpeta
Howraghat,Assam,Karbi Anglong
Jagiroad,Assam,Marigaon
Jonai Bazar,Assam,Dhemaji
Jorhat,Assam,Jorhat
Kampur Town,Assam,Nagaon
Kanakpur Part-II,Assam,Cachar
Karimganj,Assam,Karimganj
Kharijapikon,Assam,Goalpara
Kharupatia,Assam,Darrang
Kochpara,Assam,Kamrup
Kokrajhar,Assam,Kokrajhar
Kumar Kaibarta Gaon,Assam,Jorhat
Lakhipur,Assam,Goalpara
Lakhipur,Assam,Cachar
Lala,Assam,Hailakandi
Lanka,Assam,Nagaon
Lido Tikok,Assam,Tinsukia
Lido Town,Assam,Tinsukia
Lumding,Assam,Nagaon
Lumding Rly Colony,Assam,Nagaon
Mahur,Assam,North Cachar Hills
Maibong,Assam,North Cachar Hills
Majgaon,Assam,Sonitpur
Makum,Assam,Tinsukia
Mangaldoi,Assam,Darrang
Mankachar,Assam,Dhubri
Margherita,Assam,Tinsukia
Mariani,Assam,Jorhat
Marigaon,Assam,Marigaon
Moran Town,Assam,Dibrugarh
Moranhat,Assam,Sibsagar
Nagaon,Assam,Nagaon
Naharkatiya,Assam,Dibrugarh
Nalbari,Assam,Nalbari
Namrup,Assam,Dibrugarh
Naubaisa Gaon,Assam,Jorhat
Nazira,Assam,Sibsagar
New Bongaigaon Rly. Colony,Assam,Bongaigaon
North Guwahati,Assam,Kamrup
North Lakhimpur,Assam,Lakhimpur
Numaligarh Refinery Township,Assam,Golaghat
Palasbari,Assam,Kamrup
Pathsala,Assam,Barpeta
Rangapara,Assam,Sonitpur
Rangia,Assam,Kamrup
Salakati,Assam,Kokrajhar
Sapatgram,Assam,Dhubri
Sarbhog,Assam,Barpeta
Sarthebari,Assam,Barpeta
Sarupathar,Assam,Golaghat
Sarupathar Bengali,Assam,Dibrugarh
Senchoa Gaon,Assam,Jorhat
Sibsagar,Assam,Sibsagar
Silapathar,Assam,Dhemaji
Silchar,Assam,Cachar
Silchar Part-X,Assam,Cachar
Sonari,Assam,Sibsagar
Sualkuchi,Assam,Kamrup
Tangla,Assam,Darrang
Tezpur,Assam,Sonitpur
Tihu,Assam,Nalbari
Tinsukia,Assam,Tinsukia
Titabor Town,Assam,Jorhat
Udalguri,Assam,Darrang
Umrangso,Assam,North Cachar Hills
Uttar Krishnapur Part-I,Assam,Cachar
Amarpur,Bihar,Banka
Araria,Bihar,Araria
Areraj,Bihar,Purba Champaran
Arrah,Bihar,Bhojpur
Asarganj,Bihar,Munger
Aurangabad,Bihar,Aurangabad
Bagaha,Bihar,Pashchim Champaran
Bahadurganj,Bihar,Kishanganj
Bairgania,Bihar,Sitamarhi
Bakhtiarpur,Bihar,Patna
Banka,Bihar,Banka
Banmankhi Bazar,Bihar,Purnia
Barahiya,Bihar,Lakhisarai
Barauli,Bihar,Gopalganj
Barauni IOC Township,Bihar,Begusarai
Barbigha,Bihar,Sheikhpura
Barh,Bihar,Patna
Begusarai,Bihar,Begusarai
Behea,Bihar,Bhojpur
Belsand,Bihar,Sitamarhi
Bettiah,Bihar,Pashchim Champaran
Bhabua,Bihar,Kaimur (Bhabua)
Bhagalpur (M.Corp),Bihar,Bhagalpur
Bihar,Bihar,Nalanda
Bikramganj,Bihar,Rohtas
Birpur,Bihar,Supaul
Bodh Gaya,Bihar,Gaya
Buxar,Bihar,Buxar
Chakia,Bihar,Purba Champaran
Chanpatia,Bihar,Pashchim Champaran
Chapra,Bihar,Saran
Colgong,Bihar,Bhagalpur
Dalsinghsarai,Bihar,Samastipur
Darbhanga,Bihar,Darbhanga
Daudnagar,Bihar,Aurangabad
Dehri,Bihar,Rohtas
Dhaka,Bihar,Purba Champaran
Dighwara,Bihar,Saran
Dinapur Cantt.,Bihar,Patna
Dinapur Nizamat,Bihar,Patna
Dumra,Bihar,Sitamarhi
Dumraon,Bihar,Buxar
Fatwah,Bihar,Patna
Forbesganj,Bihar,Araria
Gaya,Bihar,Gaya
Ghoghardiha,Bihar,Madhubani
Gogri Jamalpur,Bihar,Khagaria
Gopalganj,Bihar,Gopalganj
Habibpur,Bihar,Bhagalpur
Hajipur,Bihar,Vaishali
Hilsa,Bihar,Nalanda
Hisua,Bihar,Nawada
Islampur,Bihar,Nalanda
Jagdishpur,Bihar,Bhojpur
Jainagar,Bihar,Madhubani
Jamalpur,Bihar,Munger
Jamhaur,Bihar,Aurangabad
Jamui,Bihar,Jamui
Janakpur Road,Bihar,Sitamarhi
